29:59.2,0.033,TCP  ,10055_218,58953,EXT_SERVER,3419,2,92,1,...RS.,0,suspicious
29:01.8,58.256,TCP  ,10004_35,54889,EXT_SERVER,22,7,420,1,.APRSF,0,suspicious
27:01.3,10.018,TCP  ,10006_27,22271,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
28:19.0,122.15,TCP  ,10004_35,61634,EXT_SERVER,22,7,420,1,.APRS.,0,suspicious
27:54.9,8.702,TCP  ,10006_27,54914,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
26:09.3,120.919,TCP  ,10004_35,11926,EXT_SERVER,22,7,387,1,.AP.SF,0,suspicious
31:15.2,8.661,TCP  ,10004_35,53298,EXT_SERVER,22,9,479,1,.APRSF,0,suspicious
31:49.9,9.92,TCP  ,10054_249,41190,EXT_SERVER,22,15,2157,1,.APRSF,0,suspicious
31:58.6,3.441,TCP  ,10004_35,52189,EXT_SERVER,22,2,106,1,...RS.,0,suspicious
30:28.3,121.863,TCP  ,10004_35,51447,EXT_SERVER,22,5,277,1,.APRSF,0,suspicious
29:26.7,9.614,TCP  ,10008_98,36643,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
32:38.8,5.419,TCP  ,10004_35,51400,EXT_SERVER,22,4,226,1,...RS.,0,suspicious
29:36.0,9.233,TCP  ,10008_98,51459,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
32:43.8,7.395,TCP  ,10004_35,41533,EXT_SERVER,22,7,360,1,.A.RSF,0,suspicious
29:44.3,8.669,TCP  ,10006_27,13636,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
29:44.9,9.064,TCP  ,10008_98,36992,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
29:53.6,10.289,TCP  ,10008_98,49312,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
30:03.6,9.916,TCP  ,10008_98,37693,EXT_SERVER,22,17,2283,1,.AP.SF,0,suspicious
30:13.1,8.87,TCP  ,10008_98,51204,EXT_SERVER,22,17,2283,1,.AP.SF,0,suspicious
33:22.7,6.39,TCP  ,10004_35,53103,EXT_SERVER,22,5,274,1,.A.RS.,0,suspicious
30:21.7,9.507,TCP  ,10008_98,33644,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
